date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:34	8783/8783	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202018%2010:57:32%20GMT	https://perfect-coins.ltd/images/coin/04.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/images/coin/04.png	(from https://perfect-coins.ltd/?a=home)
12:40:36	8183/8183	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202018%2010:57:32%20GMT	https://perfect-coins.ltd/images/coin/05.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/images/coin/05.png	(from https://perfect-coins.ltd/?a=home)
12:40:38	8115/8115	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202018%2010:57:32%20GMT	https://perfect-coins.ltd/images/coin/06.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/images/coin/06.png	(from https://perfect-coins.ltd/?a=home)
12:40:41	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Sep%202021%2019:35:31%20GMT	https://perfect-coins.ltd/team-details.html	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/team-details.2d.delayed	(from https://perfect-coins.ltd/?a=home)
12:40:42	288416/288416	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Mar%202021%2015:05:54%20GMT	https://perfect-coins.ltd/bb/ax01.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/bb/ax01.png	(from https://perfect-coins.ltd/?a=home)
12:40:45	288164/288164	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Mar%202021%2015:06:34%20GMT	https://perfect-coins.ltd/bb/ax02.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/bb/ax02.png	(from https://perfect-coins.ltd/?a=home)
12:40:46	128882/128882	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Mar%202021%2015:07:38%20GMT	https://perfect-coins.ltd/bb/ax03.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/bb/ax03.png	(from https://perfect-coins.ltd/?a=home)
12:40:52	71025/71025	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jul%202021%2013:45:48%20GMT	https://expert-coins.ltd/bb/ssponsorlogo.png	C:/My%20Web%20Sites/uchenaya/expert-coins.ltd/bb/ssponsorlogo.png	(from https://perfect-coins.ltd/?a=home)
12:40:52	755311/755311	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Mar%202021%2015:14:18%20GMT	https://perfect-coins.ltd/bb/ax04.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/bb/ax04.png	(from https://perfect-coins.ltd/?a=home)
12:40:53	10571/10571	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Mar%202021%2008:03:24%20GMT	https://expert-coins.ltd/bb/GeForce-logo.png	C:/My%20Web%20Sites/uchenaya/expert-coins.ltd/bb/GeForce-logo.png	(from https://perfect-coins.ltd/?a=home)
12:40:54	12425/12425	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Mar%202021%2008:03:22%20GMT	https://expert-coins.ltd/bb/blocklogo.png	C:/My%20Web%20Sites/uchenaya/expert-coins.ltd/bb/blocklogo.png	(from https://perfect-coins.ltd/?a=home)
12:40:56	28037/28037	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Mar%202021%2008:03:24%20GMT	https://expert-coins.ltd/bb/paypal.png	C:/My%20Web%20Sites/uchenaya/expert-coins.ltd/bb/paypal.png	(from https://perfect-coins.ltd/?a=home)
12:40:58	84345/84345	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:16:28%20GMT	https://perfect-coins.ltd/js/jquery-min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/jquery-min.js	(from https://perfect-coins.ltd/?a=home)
12:40:59	19236/19236	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:16:30%20GMT	https://perfect-coins.ltd/js/popper.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/popper.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:02	50564/50564	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:16:26%20GMT	https://perfect-coins.ltd/js/bootstrap.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/bootstrap.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:04	208839/208839	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:16:32%20GMT	https://perfect-coins.ltd/js/widget.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/widget.js	(from https://perfect-coins.ltd/?a=home)
12:41:06	112859/112859	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:16:26%20GMT	https://perfect-coins.ltd/js/all-plugins.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/all-plugins.js	(from https://perfect-coins.ltd/?a=home)
12:41:07	3568/3568	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:16:28%20GMT	https://perfect-coins.ltd/js/particles.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/particles.js	(from https://perfect-coins.ltd/?a=home)
12:41:10	110418/110418	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:18%20GMT	https://perfect-coins.ltd/revslider/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/jquery.themepunch.tools.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:11	64786/64786	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:16%20GMT	https://perfect-coins.ltd/revslider/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/jquery.themepunch.revolution.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:13	8281/8281	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:46%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.actions.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.actions.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:15	7601/7601	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:46%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.carousel.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.carousel.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:17	3748/3748	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:48%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.kenburn.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.kenburn.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:18	55994/55994	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:48%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.layeranimation.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.layeranimation.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:19	26095/26095	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:48%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.migration.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.migration.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:21	26095/26095	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:50%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.navigation.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.navigation.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:22	10925/10925	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:50%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.parallax.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.parallax.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:24	29395/29395	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:50%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.slideanims.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.slideanims.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:26	24860/24860	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Jun%202018%2004:19:50%20GMT	https://perfect-coins.ltd/revslider/js/extensions/revolution.extension.video.min.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/js/extensions/revolution.extension.video.min.js	(from https://perfect-coins.ltd/?a=home)
12:41:29	7855/7855	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2027%20Nov%202018%2007:49:06%20GMT	https://perfect-coins.ltd/js/custom.js	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/js/custom.js	(from https://perfect-coins.ltd/?a=home)
12:41:31	1238/1238	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2014:40:54%20GMT	https://perfect-coins.ltd/css/owl-carousel/owl.video.play.html	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/css/owl-carousel/owl.video.play.html	(from https://perfect-coins.ltd/css/owl-carousel/owl.carousel.css)
12:41:34	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Jun%202018%2004:16:06%20GMT	https://perfect-coins.ltd/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/fonts/fontawesome-webfont3e6e3e6e.eot	(from https://perfect-coins.ltd/css/font-awesome.css)
12:41:35	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2015%20Jun%202018%2004:16:06%20GMT	https://perfect-coins.ltd/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/fonts/fontawesome-webfontd41dd41d.eot	(from https://perfect-coins.ltd/css/font-awesome.css)
12:41:37	77160/77160	---M--	200	added ('OK')	font/woff2	date:Fri,%2015%20Jun%202018%2004:16:10%20GMT	https://perfect-coins.ltd/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/fonts/fontawesome-webfont3e6e3e6e.woff2	(from https://perfect-coins.ltd/css/font-awesome.css)
12:41:39	98024/98024	---M--	200	added ('OK')	font/woff	date:Fri,%2015%20Jun%202018%2004:16:10%20GMT	https://perfect-coins.ltd/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/fonts/fontawesome-webfont3e6e3e6e.woff	(from https://perfect-coins.ltd/css/font-awesome.css)
12:41:40	165548/165548	---M--	200	added ('OK')	font/ttf	date:Fri,%2015%20Jun%202018%2004:16:08%20GMT	https://perfect-coins.ltd/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/fonts/fontawesome-webfont3e6e3e6e.ttf	(from https://perfect-coins.ltd/css/font-awesome.css)
